category,label,query,count,search_date
overuse_clean,CT overuse / inappropriate / low-value (appropriateness removed),"(""computed tomography""[tiab] OR ""CT scan""[tiab] OR ""CT imaging""[tiab]) AND (""overutilization""[tiab] OR ""overuse""[tiab] OR ""inappropriate""[tiab] OR ""low-value""[tiab] OR ""unnecessary""[tiab] OR ""Choosing Wisely""[tiab]) NOT (""overuse injury""[tiab] OR ""overuse injuries""[tiab] OR tendinopathy[tiab] OR ""stress fracture""[tiab] OR veterinary[tiab] OR canine[tiab] OR feline[tiab])",6789,2026-06-21
overuse_mesh,MeSH: CT AND Medical Overuse / Unnecessary Procedures,"""Tomography, X-Ray Computed""[Mesh] AND (""Medical Overuse""[Mesh] OR ""Unnecessary Procedures""[Mesh])",805,2026-06-21
appropriateness,CT appropriateness / appropriate use (shown separately),"(""computed tomography""[tiab] OR ""CT scan""[tiab] OR ""CT imaging""[tiab]) AND (""appropriateness""[tiab] OR ""appropriate use""[tiab] OR ""appropriateness criteria""[tiab]) NOT (""overuse injury""[tiab] OR ""overuse injuries""[tiab] OR tendinopathy[tiab] OR ""stress fracture""[tiab] OR veterinary[tiab] OR canine[tiab] OR feline[tiab])",977,2026-06-21
incidental,CT incidental findings / incidentaloma / overdiagnosis,"(""computed tomography""[tiab] OR ""CT scan""[tiab] OR ""CT imaging""[tiab]) AND (""incidental finding""[tiab] OR ""incidental findings""[tiab] OR ""incidentaloma""[tiab] OR ""overdiagnosis""[tiab])",3406,2026-06-21
cumulative_dose,CT cumulative / recurrent / repeated dose,"(""computed tomography""[tiab] OR ""CT scan""[tiab] OR ""CT imaging""[tiab]) AND (""cumulative radiation""[tiab] OR ""cumulative dose""[tiab] OR ""cumulative effective dose""[tiab] OR ""recurrent CT""[tiab] OR ""repeated CT""[tiab])",942,2026-06-21
yield_test,CT diagnostic yield as a TEST (CT-guided biopsy/procedure removed),"(""computed tomography""[tiab] OR ""CT scan""[tiab] OR ""CT imaging""[tiab]) AND (""diagnostic yield""[tiab] OR ""low yield""[tiab] OR ""number needed to scan""[tiab] OR ""number needed to image""[tiab]) NOT (""CT-guided""[tiab] OR ""CT guided""[tiab] OR biopsy[tiab] OR ""core needle""[tiab] OR ""fine needle""[tiab] OR aspiration[tiab])",1000,2026-06-21
benefit_named_clean,CT net/marginal/incremental benefit (AI/radiomics removed),"(""computed tomography""[tiab] OR ""CT scan""[tiab] OR ""CT imaging""[tiab]) AND (""net clinical benefit""[tiab] OR ""net benefit""[tiab] OR ""marginal benefit""[tiab] OR ""incremental benefit""[tiab]) NOT (radiomics[tiab] OR ""deep learning""[tiab] OR ""machine learning""[tiab] OR ""neural network""[tiab] OR ""artificial intelligence""[tiab] OR nomogram[tiab])",159,2026-06-21
