side,bucket,label,query,count,search_date
A,named,radiation risk (named concept),"(""computed tomography""[tiab] OR ""CT scan""[tiab]) AND (""radiation risk""[tiab] OR ""radiation-induced cancer""[tiab] OR ""radiation induced cancer""[tiab] OR ""lifetime attributable risk""[tiab] OR ""carcinogenic risk""[tiab])",496,2026-06-21
A,mesh,"Neoplasms, Radiation-Induced (indexed MeSH concept)","""Tomography, X-Ray Computed""[Mesh] AND ""Neoplasms, Radiation-Induced""[Mesh]",874,2026-06-21
B,named,"risk of NOT scanning (named concept, optics removed)","(""computed tomography""[tiab] OR ""CT scan""[tiab]) AND (""risk of not scanning""[tiab] OR ""not scanning""[tiab] OR ""non-scanning""[tiab] OR ""withholding CT""[tiab] OR ""withholding imaging""[tiab] OR ""deferred CT""[tiab] OR ""forgoing CT""[tiab] OR ""forgoing imaging""[tiab]) NOT (spectrometer[tiab] OR spectral[tiab] OR fluorescence[tiab] OR microscopy[tiab] OR multiplexing[tiab])",0,2026-06-21
B,operational,"delay-to-scan (time-to-CT / door-to-CT, clean)","(""time to CT""[tiab] OR ""time-to-CT""[tiab] OR ""door-to-CT""[tiab] OR ""door to CT""[tiab] OR ""time to computed tomography""[tiab] OR ""delayed CT scan""[tiab] OR ""delay in CT""[tiab]) NOT (""delayed phase""[tiab] OR ""delayed-phase""[tiab] OR ""delayed enhancement""[tiab] OR ""delayed contrast""[tiab] OR ""time-resolved""[tiab])",302,2026-06-21
B,proxy,delayed/missed diagnosis co-mentioning CT (off-concept proxy),"(""computed tomography""[tiab] OR ""CT scan""[tiab]) AND (""delayed diagnosis""[tiab] OR ""diagnostic delay""[tiab] OR ""missed diagnosis""[tiab])",1943,2026-06-21
